tech_id,process_type,description,unit_operation,main_sector,main_category,category_spec,tech_type,year,reference_unit_size,reference_unit_size_unit,location,currency,trl,tech_maturity,efficiency,efficiency_unit,carriers_in,main_input,ratios_in,units_in,carriers_out,main_out,ratios_out,units_out,capex,capex_unit,opex,opex_unit,lifetime,lifetime_unit,ref_year,summary,model
PSC_2035,Capture,Point-source CO2 capture removes CO2 from flue gas streams such as cement plant emissions using post-combustion amine processes.,Post-combustion amine capture,Fuels,CO2 Capture,Point-source post-combustion amine,Point-source CO2 capture,2035,1,tCO2,"Iceland, The Netherlands, Spain, Chile",EUR,,postcombustion amine capture,,,"flue gas CO2, amine solvent, energy",flue gas CO2,,"not specified, not specified, not specified",captured CO2,captured CO2,1,tCO2,,,50,€/tCO2,25,years,2024,"Near-future point-source CO2 capture is represented as post-combustion amine capture with captured CO2 on a 1 tCO2 reference basis. Capture cost is assumed at 50 €/tCO2 with a 30-70 €/tCO2 range, plant operation is 8000 h/y, and MSP investment lifetime is 25 years.",gpt-5.5
PSC_2050,Capture,Point-source CO2 capture removes CO2 from flue gas streams such as cement plant emissions using post-combustion amine capture.,Post-combustion amine capture,Fuels,CO2 Capture,Point-source post-combustion amine,Point-source CO2 capture,2050,1,tCO2,"Iceland, The Netherlands, Spain, Chile",EUR,,well-established technology scenario post-2035,,,"flue gas CO2, amine solvent, energy",flue gas CO2,,"not specified, not specified, not specified",captured CO2,captured CO2,1,tCO2,,,50,€/tCO2,25,years,2024,"Long-term point-source CO2 capture is treated as a well-established post-combustion capture route. Capture cost remains assumed at 50 €/tCO2 with a 30-70 €/tCO2 range, plant operation is 8000 h/y, and MSP investment lifetime is 25 years.",gpt-5.5
RWGS_2035,Conversion,Reverse water gas shift converts CO2 and hydrogen into CO for downstream Fischer-Tropsch fuel synthesis.,Reverse water gas shift,Fuels,Syngas Production,Reverse water gas shift,RWGS,2035,229.3,ktCO/y,"Iceland, The Netherlands, Spain, Chile",EUR,,near-future commercial-scale efficiency expected for CCU technologies,,,"CO2, hydrogen, energy",CO2,360,"ktCO2/y, not specified, not specified","CO, water",CO,229.3,"ktCO/y, not specified",28.4,M€,,,25,years,2024,Near-future RWGS is sized on a fixed annual CO2 input of 360 ktCO2/y and produces 229.3 ktCO/y. Baseline CAPEX is 28.4 M€ with a 14.4-42.5 M€ range; the MSP investment lifetime is 25 years and plant operation is 8000 h/y.,gpt-5.5
RWGS_2050,Conversion,Reverse water gas shift converts CO2 and low-carbon hydrogen into CO for downstream Fischer-Tropsch fuel synthesis.,Reverse water gas shift,Fuels,Syngas Production,Reverse water gas shift,RWGS,2050,229.3,ktCO/y,"Iceland, The Netherlands, Spain, Chile",EUR,,well-established technology scenario post-2035,,,"CO2, hydrogen, energy",CO2,360,"ktCO2/y, not specified, not specified","CO, water",CO,229.3,"ktCO/y, not specified",28.4,M€,,,25,years,2024,Long-term RWGS is represented as a well-established route with fixed annual CO2 input of 360 ktCO2/y and CO capacity of 229.3 ktCO/y. Baseline CAPEX is 28.4 M€ with a 14.4-42.5 M€ range; the MSP investment lifetime is 25 years and plant operation is 8000 h/y.,gpt-5.5
ERCO2_2035,Conversion,Electrochemical reduction of CO2 converts CO2 using electricity and water or protons into CO or an intermediate for Fischer-Tropsch fuels.,Electrochemical CO2 reduction,Fuels,CO2 Electroreduction,CO2-to-CO electrochemical reduction,Electrochemical reduction of CO2,2035,225.3,ktCO/y,"Iceland, The Netherlands, Spain, Chile",EUR,,near-future commercial-scale efficiency expected for CCU technologies,,,"CO2, electricity, water/protons",CO2,360,"ktCO2/y, not specified, not specified","CO/intermediate, byproducts",CO/intermediate,225.3,"ktCO/y, not specified",95.5,M€,,,25,years,2024,Near-future electrochemical CO2 reduction is sized on a fixed annual CO2 input of 360 ktCO2/y and produces 225.3 ktCO/y of CO/intermediate. Baseline CAPEX is 95.5 M€ with a 68.9-122.2 M€ range; the MSP investment lifetime is 25 years and plant operation is 8000 h/y.,gpt-5.5
ERCO2_2050,Conversion,Electrochemical reduction of CO2 converts CO2 using electricity and water or protons into CO or an intermediate for Fischer-Tropsch fuels.,Electrochemical CO2 reduction,Fuels,CO2 Electroreduction,CO2-to-CO electrochemical reduction,Electrochemical reduction of CO2,2050,225.3,ktCO/y,"Iceland, The Netherlands, Spain, Chile",EUR,,well-established technology scenario post-2035,,,"CO2, electricity, water/protons",CO2,360,"ktCO2/y, not specified, not specified","CO/intermediate, byproducts",CO/intermediate,225.3,"ktCO/y, not specified",95.5,M€,,,25,years,2024,Long-term electrochemical CO2 reduction is treated as a well-established route with fixed annual CO2 input of 360 ktCO2/y and CO/intermediate capacity of 225.3 ktCO/y. Baseline CAPEX is 95.5 M€ with a 68.9-122.2 M€ range; the MSP investment lifetime is 25 years and plant operation is 8000 h/y.,gpt-5.5
FT_2035,Conversion,"Fischer-Tropsch synthesis produces a FT fuel mix from CO generated by reverse water gas shift or electrochemical CO2 reduction, with hydrogen as co-reactant.",Fischer-Tropsch synthesis,Fuels,Fuel Synthesis,Fischer-Tropsch,Fischer-Tropsch synthesis,2035,116.4,ktFT-fuel/y via RWGS,"Iceland, The Netherlands, Spain, Chile",EUR,,near-future commercial-scale efficiency expected for CCU technologies,,,"CO/syngas via RWGS or ER, hydrogen, CO2 upstream basis",CO/syngas via RWGS or ER,360,"not specified, not specified, ktCO2/y","FT fuels via RWGS, FT fuels via ER, mixed product output",FT fuels,"116.4, 114.4","ktFT-fuel/y, ktFT-fuel/y, not specified",100.1,M€ via RWGS; 98.8 M€ via ER,,,25,years,2024,"Near-future Fischer-Tropsch synthesis is assessed for RWGS and ER routes using a 360 ktCO2/y upstream basis. Output capacity is 116.4 ktFT-fuel/y via RWGS and 114.4 ktFT-fuel/y via ER; baseline CAPEX is 100.1 M€ via RWGS and 98.8 M€ via ER, with a 25-year MSP investment lifetime and 8000 h/y plant operation.",gpt-5.5
FT_2050,Conversion,Fischer-Tropsch synthesis produces a FT fuel mix via RWGS or ER routes using low-carbon hydrogen and CO2-derived carbon.,Fischer-Tropsch synthesis,Fuels,Fuel Synthesis,Fischer-Tropsch,Fischer-Tropsch synthesis,2050,116.4,ktFT-fuel/y via RWGS,"Iceland, The Netherlands, Spain, Chile",EUR,,well-established technology scenario post-2035,,,"CO/syngas via RWGS or ER, hydrogen, CO2 upstream basis",CO/syngas via RWGS or ER,360,"not specified, not specified, ktCO2/y","FT fuels via RWGS, FT fuels via ER, mixed product output",FT fuels,"116.4, 114.4","ktFT-fuel/y, ktFT-fuel/y, not specified",100.1,M€ via RWGS; 98.8 M€ via ER,,,25,years,2024,"Long-term Fischer-Tropsch synthesis is treated as a well-established technology with output capacity of 116.4 ktFT-fuel/y via RWGS and 114.4 ktFT-fuel/y via ER. Baseline CAPEX is 100.1 M€ via RWGS and 98.8 M€ via ER, with a 25-year MSP investment lifetime and 8000 h/y plant operation.",gpt-5.5
MEOH_2035,Conversion,"Methanol synthesis produces methanol directly from CO2 and low-carbon hydrogen, with energy supplied for renewable methanol production.",Methanol synthesis,Chemicals,Alcohol Synthesis,CO2 hydrogenation to methanol,Methanol synthesis,2035,246.6,ktmethanol/y,"Iceland, The Netherlands, Spain, Chile",EUR,,near-future commercial-scale efficiency expected for CCU technologies,,,"CO2, hydrogen, energy",CO2,360,"ktCO2/y, not specified, not specified","methanol, water/byproducts",methanol,246.6,"ktmethanol/y, not specified",120.2,M€,,,25,years,2024,Near-future direct methanol synthesis is sized on a fixed annual CO2 input of 360 ktCO2/y and produces 246.6 ktmethanol/y. Baseline CAPEX is 120.2 M€ with a 59.0-181.9 M€ range; the MSP investment lifetime is 25 years and plant operation is 8000 h/y.,gpt-5.5
MEOH_2050,Conversion,Methanol synthesis produces methanol directly from CO2 and low-carbon hydrogen in a well-established long-term technology scenario.,Methanol synthesis,Chemicals,Alcohol Synthesis,CO2 hydrogenation to methanol,Methanol synthesis,2050,246.6,ktmethanol/y,"Iceland, The Netherlands, Spain, Chile",EUR,,well-established technology scenario post-2035,,,"CO2, hydrogen, energy",CO2,360,"ktCO2/y, not specified, not specified","methanol, water/byproducts",methanol,246.6,"ktmethanol/y, not specified",120.2,M€,,,25,years,2024,Long-term direct methanol synthesis uses a fixed annual CO2 input basis of 360 ktCO2/y and produces 246.6 ktmethanol/y. Baseline CAPEX is 120.2 M€ with a 59.0-181.9 M€ range; the MSP investment lifetime is 25 years and plant operation is 8000 h/y.,gpt-5.5
METH_2035,Conversion,"CO2-to-methane pathway using CO2 feedstock and low-carbon hydrogen from electrolysis. The pathway is assessed with LT DAC, HT DAC, or point-source CO2 and AEC, PEM, or SOEC hydrogen supply.",Methanation,Fuels,Methane Production,CO2-to-methane,Methanation,2035,1,metric ton final product,"Iceland, The Netherlands, Spain, Chile; final transport to Basel, Switzerland",EUR,,near-term efficiencies expected for CCU technologies at commercial scale,0.9,methane boiler efficiency,"CO2, H2, LT DAC electricity, LT DAC heat, LT DAC sorbent",CO2,"360, 0.48, 2.53, 7.5","ktCO2/y, not specified, MWhel/tCO2, MWhth/tCO2, kg/tCO2",methane,methane,124.6,ktmethane/y,36.8,M€,21.5,€/kgsorbent,25,years,2024,"Near-future methanation uses a fixed CO2 input basis of 360 ktCO2/y and produces 124.6 ktmethane/y. Baseline CAPEX is 36.8 M€, LT DAC sorbent cost is 21.5 €/kgsorbent, and the assessment assumes a 25-year MSP investment lifetime with 8000 h/y plant operation.",gpt-5.5
METH_2050,Conversion,"CO2-to-methane plant built using well-established methanation and upstream CO2 and hydrogen technologies. Hydrogen is supplied by AEC, PEM, or SOEC electrolysis using renewable electricity.",Methanation,Fuels,Methane Production,CO2-to-methane,Methanation,2050,124.6,ktmethane/y,"Chile, Spain, Iceland, The Netherlands",EUR,,well-established technologies after 2035,0.9,methane boiler efficiency,"CO2, H2, LT DAC electricity, LT DAC heat, LT DAC sorbent",CO2,"360, 0.38, 1.5, 3","ktCO2/y, not specified, MWhel/tCO2, MWhth/tCO2, kg/tCO2",methane,methane,124.6,ktmethane/y,36.8,M€,7.4,€/kgsorbent,25,years,2024,"Long-term methanation uses 360 ktCO2/y and produces 124.6 ktmethane/y. Baseline CAPEX remains 36.8 M€, while LT DAC sorbent cost decreases to 7.4 €/kgsorbent and life-cycle GHG emissions are reported as 62–94% lower than fossil methane.",gpt-5.5
DME_2035,Conversion,Dimethyl ether synthesis from CO2-derived intermediates and low-carbon hydrogen. The assessment includes the full supply chain from CO2 and hydrogen production to product delivery.,Dimethyl ether synthesis,Fuels,Dimethyl Ether Production,CO2-derived DME,Dimethyl ether synthesis,2035,186.7,ktDME/y,"Iceland, The Netherlands, Spain, Chile; Basel, Switzerland final destination",EUR,,near-term efficiencies expected at commercial scale,,fossil DME LHV 28.8 MJ/kgproduct,"CO2, H2, LT DAC electricity, LT DAC heat, LT DAC sorbent",CO2,"360, 0.48, 2.53, 7.5","ktCO2/y, not specified, MWhel/tCO2, MWhth/tCO2, kg/tCO2",DME,DME,186.7,ktDME/y,85.7,M€,21.5,€/kgsorbent,25,years,2024,"Near-future DME production uses a fixed CO2 input basis of 360 ktCO2/y and produces 186.7 ktDME/y. Baseline CAPEX is 85.7 M€, LT DAC sorbent cost is 21.5 €/kgsorbent, and plant operation is 8000 h/y over a 25-year lifetime.",gpt-5.5
DME_2050,Conversion,"Dimethyl ether production using well-established CO2 utilization and electrolysis-based hydrogen supply. Hydrogen is supplied by AEC, PEM, or SOEC electrolysis.",Dimethyl ether synthesis,Fuels,Dimethyl Ether Production,CO2-derived DME,Dimethyl ether synthesis,2050,186.7,ktDME/y,"Chile, Spain, Iceland, The Netherlands",EUR,,well-established technologies after 2035,,fossil DME LHV 28.8 MJ/kgproduct,"CO2, H2, LT DAC electricity, LT DAC heat, LT DAC sorbent",CO2,"360, 0.38, 1.5, 3","ktCO2/y, not specified, MWhel/tCO2, MWhth/tCO2, kg/tCO2",DME,DME,186.7,ktDME/y,85.7,M€,7.4,€/kgsorbent,25,years,2024,"Long-term DME production uses 360 ktCO2/y and produces 186.7 ktDME/y. Baseline CAPEX is 85.7 M€, LT DAC sorbent cost falls to 7.4 €/kgsorbent, and life-cycle GHG emissions are 77–96% lower than fossil DME.",gpt-5.5
HB_2035,Conversion,Haber-Bosch ammonia synthesis using renewable hydrogen and nitrogen from an air separation unit. The energy balance includes electricity for air separation.,Haber-Bosch synthesis,Chemicals,Ammonia Production,Renewable hydrogen Haber-Bosch,Haber-Bosch process,2035,277.4,ktammonia/y,"Iceland, The Netherlands, Spain, Chile; Basel, Switzerland final destination",EUR,,AEC and PEM dominate market and are available at MW-scale; near-term CCU efficiencies expected at commercial scale,,AEC 55.1 kWh_el/kg_H2; PEM 57.9 kWh_el/kg_H2; SOEC 34.1 kWh_el/kg_H2 + 8.3 kWh_th/kg_H2,"H2, N2, ASU electricity, electrolysis electricity AEC, electrolysis electricity PEM, SOEC electricity, SOEC thermal energy",H2,"55.1, 57.9, 34.1, 8.3","not specified, not specified, not specified, kWh_el/kg_H2, kWh_el/kg_H2, kWh_el/kg_H2, kWh_th/kg_H2",ammonia,ammonia,277.4,ktammonia/y,132.2,M€,48.9,"% of system, electrolyzer stack OPEX AEC; PEM 42.0%; SOEC 27.0%",25,years,2024,"Near-future Haber-Bosch ammonia synthesis produces 277.4 ktammonia/y using electrolysis-based hydrogen and ASU nitrogen. Baseline CAPEX is 132.2 M€, AEC electricity consumption is 55.1 kWh_el/kg_H2, PEM is 57.9 kWh_el/kg_H2, and SOEC uses 34.1 kWh_el/kg_H2 plus 8.3 kWh_th/kg_H2.",gpt-5.5
HB_2050,Conversion,"Haber-Bosch ammonia synthesis with well-established electrolysis-based hydrogen and ASU nitrogen supply. AEC, PEM, or SOEC electrolysis provide renewable hydrogen.",Haber-Bosch synthesis,Chemicals,Ammonia Production,Renewable hydrogen Haber-Bosch,Haber-Bosch process,2050,277.4,ktammonia/y,"Chile, Spain, Iceland, The Netherlands",EUR,,well-established technologies after 2035,,AEC 48.9 kWh_el/kg_H2; PEM 53.1 kWh_el/kg_H2; SOEC 34.1 kWh_el/kg_H2 + 8.3 kWh_th/kg_H2,"H2, N2, AEC electricity, PEM electricity, SOEC electricity, SOEC thermal energy",H2,"48.9, 53.1, 34.1, 8.3","not specified, not specified, kWh_el/kg_H2, kWh_el/kg_H2, kWh_el/kg_H2, kWh_th/kg_H2",ammonia,ammonia,277.4,ktammonia/y,132.2,M€,48.8,"% of system, electrolyzer stack OPEX AEC; PEM 39.4%; SOEC 13.8%",87500,"h, electrolyzer stack lifetime AEC; PEM 85420 h; SOEC 71991 h",2024,"Long-term Haber-Bosch ammonia synthesis produces 277.4 ktammonia/y. Baseline CAPEX is 132.2 M€, AEC electricity consumption falls to 48.9 kWh_el/kg_H2, and reported stack lifetimes are 87500 h for AEC, 85420 h for PEM, and 71991 h for SOEC.",gpt-5.5
UREA_2035,Conversion,Urea synthesis using ammonia and CO2 in a full CO2 and hydrogen supply chain. Ammonia is produced via Haber-Bosch from renewable hydrogen and ASU nitrogen.,Urea synthesis,Chemicals,Urea Production,Ammonia and CO2 urea synthesis,Urea synthesis,2035,491.8,kturea/y,"Iceland, The Netherlands, Spain, Chile; Basel, Switzerland final destination",EUR,,near-term efficiencies expected at commercial scale,,,"CO2, ammonia, H2, LT DAC electricity, LT DAC heat, LT DAC sorbent",CO2,"360, 0.48, 2.53, 7.5","ktCO2/y, not specified, not specified, MWhel/tCO2, MWhth/tCO2, kg/tCO2",urea,urea,491.8,kturea/y,50.1,M€,21.5,€/kgsorbent,25,years,2024,"Near-future urea synthesis uses a fixed CO2 input basis of 360 ktCO2/y and produces 491.8 kturea/y. Baseline CAPEX is 50.1 M€, LT DAC sorbent cost is 21.5 €/kgsorbent, and plant lifetime is 25 years at 8000 h/y.",gpt-5.5
UREA_2050,Conversion,Urea synthesis using well-established ammonia and CO2 supply chains. Ammonia is supplied from Haber-Bosch synthesis.,Urea synthesis,Chemicals,Urea Production,Ammonia and CO2 urea synthesis,Urea synthesis,2050,491.8,kturea/y,"Chile, Spain, Iceland, The Netherlands",EUR,,well-established technologies after 2035,,,"CO2, ammonia, LT DAC electricity, LT DAC heat, LT DAC sorbent",CO2,"360, 0.38, 1.5, 3","ktCO2/y, not specified, MWhel/tCO2, MWhth/tCO2, kg/tCO2",urea,urea,491.8,kturea/y,50.1,M€,7.4,€/kgsorbent,25,years,2024,"Long-term urea synthesis uses 360 ktCO2/y and produces 491.8 kturea/y. Baseline CAPEX is 50.1 M€, LT DAC sorbent cost falls to 7.4 €/kgsorbent, and life-cycle GHG emissions are 68–89% lower than fossil urea.",gpt-5.5
MTO_2035,Conversion,Methanol-to-olefins synthesis from renewable methanol. The process is described as thermally highly integrated and uses a percentage-weighted mixed product output.,Methanol-to-olefins synthesis,Chemicals,Olefins Production,Methanol-to-olefins,Methanol-to-olefins synthesis,2035,93.8,ktolefins/y,"Iceland, The Netherlands, Spain, Chile; Basel, Switzerland final destination",EUR,,near-term efficiencies expected at commercial scale,,thermally highly integrated process; value not specified,"methanol, CO2, H2, LT DAC electricity, LT DAC heat",methanol,"360, 0.48, 2.53","not specified, ktCO2/y, not specified, MWhel/tCO2, MWhth/tCO2",olefins mix,olefins mix,93.8,ktolefins/y,92.1,M€,21.5,€/kgsorbent,25,years,2024,"Near-future MTO synthesis uses renewable methanol from electricity, water electrolysis, and CO2 air capture, with upstream CO2 fixed at 360 ktCO2/y. The plant produces 93.8 ktolefins/y, with baseline CAPEX of 92.1 M€ and LT DAC sorbent cost of 21.5 €/kgsorbent.",gpt-5.5
MTO_2050,Conversion,"Methanol-to-olefins synthesis from CO2-derived methanol using an established post-2035 process chain. Hydrogen is supplied by AEC, PEM, or SOEC electrolysis.",Methanol-to-olefins synthesis,Chemicals,Olefins Production,Methanol-to-olefins,Methanol-to-olefins synthesis,2050,93.8,ktolefins/y,"Chile, Spain, Iceland, The Netherlands",EUR,,well-established technologies after 2035,,thermally highly integrated process; value not specified,"methanol, CO2, H2, LT DAC electricity, LT DAC heat, LT DAC sorbent",methanol,"360, 0.38, 1.5, 3","not specified, ktCO2/y, not specified, MWhel/tCO2, MWhth/tCO2, kg/tCO2",olefins mix,olefins mix,93.8,ktolefins/y,92.1,M€,7.4,€/kgsorbent,25,years,2024,"Long-term MTO synthesis produces 93.8 ktolefins/y from CO2-derived methanol with 360 ktCO2/y upstream carbon supply. Baseline CAPEX is 92.1 M€, LT DAC sorbent cost is 7.4 €/kgsorbent, and life-cycle GHG emissions are 50–87% lower than fossil olefins.",gpt-5.5
